file_path,split,type,label_contents
images/train/frame_00737_05142025_long.jpg,train,image,
images/train/frame_00959_yt1_r2.jpg,train,image,
images/train/frame_00529.jpg,train,image,
images/train/frame_00381_05122025_long.jpg,train,image,
images/train/frame_00250_05142025_long.jpg,train,image,
images/train/frame_00901_05122025_long.jpg,train,image,
images/train/frame_00019_05152025.jpg,train,image,
images/train/frame_00262_05222025_pt1.jpg,train,image,
images/train/frame_00004_r1.jpg,train,image,
images/train/frame_01052_05142025_long.jpg,train,image,
images/train/frame_00515.jpg,train,image,
images/train/frame_00087_05222025_pt1.jpg,train,image,
images/train/frame_00779_05142025_long.jpg,train,image,
images/train/frame_00455_05122025_long.jpg,train,image,
images/train/frame_00284_05222025_pt1.jpg,train,image,
images/train/frame_00273.jpg,train,image,
images/train/frame_00267.jpg,train,image,
images/train/frame_00584_05142025_long.jpg,train,image,
images/train/frame_00132_05122025_long.jpg,train,image,
images/train/frame_00501.jpg,train,image,
images/train/frame_00179_r1.jpg,train,image,
images/train/frame_00265_05122025_long.jpg,train,image,
images/train/frame_00149_05142025_long.jpg,train,image,
images/train/frame_00298.jpg,train,image,
images/train/frame_00702_05122025_long.jpg,train,image,
images/train/frame_00142_i65_before_alford.jpg,train,image,
images/train/frame_01305_05142025_long.jpg,train,image,
images/train/frame_00158_05222025_pt1.jpg,train,image,
images/train/frame_00107_05142025_long.jpg,train,image,
images/train/frame_00460_05142025_long.jpg,train,image,
images/train/frame_00191_05152025.jpg,train,image,
images/train/frame_00010_05222025_pt3.jpg,train,image,
images/train/frame_00033_05142025_long.jpg,train,image,
images/train/frame_01231_05142025_long.jpg,train,image,
images/train/frame_00678_05122025_long.jpg,train,image,
images/train/frame_00416_05222025_pt3.jpg,train,image,
images/train/frame_00059.jpg,train,image,
images/train/frame_00071.jpg,train,image,
images/train/frame_00098_r2.jpg,train,image,
images/train/frame_00351_05122025_long.jpg,train,image,
images/train/frame_00800_05142025_long.jpg,train,image,
images/train/frame_00636_05122025_long.jpg,train,image,
images/train/frame_00232_05222025_pt2.jpg,train,image,
images/train/frame_00280_05142025_long.jpg,train,image,
images/train/frame_01082_05142025_long.jpg,train,image,
images/train/frame_00065.jpg,train,image,
images/train/frame_00108_05222025_pt2.jpg,train,image,
images/train/frame_00561_05122025_long.jpg,train,image,
images/train/frame_00335_05222025_pt2.jpg,train,image,
images/train/frame_00099_i65_before_alford.jpg,train,image,
images/train/frame_00511_05222025_pt3.jpg,train,image,
images/train/frame_01401_05142025_long.jpg,train,image,
images/train/frame_00167_r1.jpg,train,image,
images/train/frame_00603_05142025_long.jpg,train,image,
images/train/frame_00196_05152025.jpg,train,image,
images/train/frame_00067_r1.jpg,train,image,
images/train/frame_00169_05152025.jpg,train,image,
images/train/frame_00129_05222025_pt3.jpg,train,image,
images/train/frame_00314_05222025_pt3.jpg,train,image,
images/train/frame_00048_05122025_long.jpg,train,image,
images/train/frame_01730_05142025_long.jpg,train,image,
images/train/frame_00016_r1.jpg,train,image,
images/train/frame_00139.jpg,train,image,
images/train/frame_00075_05222025_pt3.jpg,train,image,
images/train/frame_00116_r1.jpg,train,image,
images/train/frame_00407_05152025.jpg,train,image,
images/train/frame_00452_05152025.jpg,train,image,
images/train/frame_00094_r2.jpg,train,image,
images/train/frame_00473_05222025_pt3.jpg,train,image,
images/train/frame_01257_05142025_long.jpg,train,image,
images/train/frame_00379_05122025_long.jpg,train,image,
images/train/frame_00828_05142025_long.jpg,train,image,
images/train/frame_00055_05142025_long.jpg,train,image,
images/train/frame_00105.jpg,train,image,
images/train/frame_00495_05222025_pt3.jpg,train,image,
images/train/frame_00290_05222025_pt3.jpg,train,image,
images/train/frame_00389_05152025.jpg,train,image,
images/train/frame_00269_05222025_pt2.jpg,train,image,
images/train/frame_01583_05142025_long.jpg,train,image,
images/train/frame_00781_05142025_long.jpg,train,image,
images/train/frame_00323_05152025.jpg,train,image,
images/train/frame_00093_05222025_pt3.jpg,train,image,
images/train/frame_00623_yt1_r2.jpg,train,image,
images/train/frame_00376_05152025.jpg,train,image,
images/train/frame_00257_05222025_pt2.jpg,train,image,
images/train/frame_00111.jpg,train,image,
images/train/frame_00153_05222025_pt2.jpg,train,image,
images/train/frame_00194_05222025_pt3.jpg,train,image,
images/train/frame_00350_05222025_pt2.jpg,train,image,
images/train/frame_00201_05152025.jpg,train,image,
images/train/frame_01429_05142025_long.jpg,train,image,
images/train/frame_00700_yt1_r2.jpg,train,image,
images/train/frame_00498_05142025_long.jpg,train,image,
images/train/frame_00302_05142025_long.jpg,train,image,
images/train/frame_00853_05122025_long.jpg,train,image,
images/train/frame_01100_05142025_long.jpg,train,image,
images/train/frame_01467_05142025_long.jpg,train,image,
images/train/frame_00982_05142025_long.jpg,train,image,
images/train/frame_00172_05222025_pt3.jpg,train,image,
images/train/frame_00680_05122025_long.jpg,train,image,
images/train/frame_00885_yt1_r2.jpg,train,image,
images/train/frame_00402_05222025_pt1.jpg,train,image,
